self_id,id1,id2,id3,id4,id5,id6,id7,id8
175,4073,429,1550,4904,3824,20478,5441,34146
176,7348,1504,1123,21822,11757,33644,40153,966
178,11757,21822,7348,33644,966,20539,57110,1504
429,5411,4073,2106,1550,20478,34146,5441,3824
436,429,4073,1525,3824,2106,5411,1550,29145
454,7463,24905,60511,1504,3606,21822,3939,33644
503,43312,4014,6968,1621,20575,507,1018,36862
505,5441,34146,17538,20470,10784,20478,4073,1550
507,43312,20575,4014,1621,36862,48519,429,4073
508,1622,4904,5441,1550,3824,4073,17538,25382
510,24905,17538,60511,7463,20470,35036,5441,34146
511,11757,21822,7348,33644,966,20539,19960,57110
512,429,4073,436,5411,2106,1550,3824,4904
513,4073,1550,5441,20478,25414,34146,4904,10784
514,7463,1622,5441,24905,17538,4904,20470,1550
515,7348,11757,21822,1504,33644,1123,966,40153
562,1622,1550,4073,5441,4904,20478,20470,429
563,21822,33644,966,1504,20539,60511,7348,57110
638,11757,966,21822,33644,7348,20539,57110,178
727,1324,1018,7675,54731,29145,21704,51483,58046
798,17538,429,20470,7463,24905,436,34146,1554
959,4073,1550,960,4904,5441,962,3824,25414
960,5441,10784,28350,33624,34146,20470,17538,20478
961,4073,1550,20478,5441,34146,429,4904,3824
962,7463,24905,1622,4904,3824,17538,4073,20470
963,17538,60511,7463,24905,20470,5441,34146,37518
965,36862,43312,20575,1621,4073,7672,4014,960
966,21822,33644,11757,7348,20539,57110,1504,19960
967,60511,7463,5441,1504,21822,3606,7348,17538
1018,727,1324,54731,7675,29145,21704,51483,58046
1121,1622,7463,4904,1550,5441,4073,3824,429
1122,1550,4073,5441,20478,34146,10784,20470,17538
1123,7348,1504,11757,21822,33644,40153,176,20539
1152,9906,20470,34146,17538,7463,2106,429,24905
1154,25382,1622,1550,7463,5441,4904,429,20470
1324,727,1018,7675,54731,29145,21704,51483,58046
1413,429,436,1414,5411,2106,3824,20470,34146
1414,436,429,1525,2106,3824,4073,5411,1550
1415,429,1414,436,2106,20478,1550,34146,43312
1418,7463,3606,1504,60511,3939,24905,21822,33644
1492,7463,1504,60511,21822,24905,3606,33644,20539
1504,7348,21822,33644,20539,7463,60511,11757,40153
1521,429,5411,1525,2106,4073,1550,3824,4904
1525,429,4073,2106,5411,1550,436,3824,20478
1535,429,436,3824,4073,1550,4904,17538,34146
1536,429,436,4073,4904,3824,1525,5411,2106
1537,3386,1535,2106,1536,10265,436,25422,1525
1538,429,436,3824,4073,4904,1550,1622,2106
1539,436,429,3824,17538,4073,1525,34146,1550
1542,429,2106,1525,4073,436,3824,5411,1550
1546,4904,3824,2572,5411,7693,2106,25382,9906
1549,7463,24905,1504,3606,60511,3939,21822,33644
1550,4073,5441,20478,34146,20470,1122,25414,10784
1554,429,1525,20470,17538,7463,34146,3824,24905
1557,7348,7463,1504,33644,21822,11757,966,20539
1589,5441,20470,17538,34146,10784,20478,4073,28350
1598,1550,4073,4904,3824,5441,1622,20478,20470
1599,5441,10784,28350,4073,34146,20470,17538,20478
1620,20470,24905,17538,7463,34146,5441,4904,1622
1621,43312,4014,20575,36862,48519,507,429,1018
1622,1550,5441,7463,4904,4073,20470,3824,17538
1681,1622,5441,7463,17538,20470,24905,1550,34146
1791,7463,24905,17538,4904,20470,3824,1622,5441
1825,7463,3606,1504,60511,24905,3939,21822,33644
2106,429,5411,1550,4073,29145,20478,5441,34146
2324,11757,21822,33644,20539,966,7348,57110,1504
2572,4904,1622,3824,4073,7463,5441,1550,24905
2599,34590,20470,34146,4073,24905,5441,17538,20478
2718,7675,7348,51483,1324,727,1504,21822,33644
2719,5441,10784,34146,28350,20478,33624,4073,960
2725,5441,10784,34146,20478,28350,4073,20470,33624
2726,429,1550,4073,5441,3824,2106,1622,20478
2740,23474,25852,48911,5972,7463,17538,24905,429
2776,43312,1621,4014,20575,48519,36862,429,507
2780,7348,1504,21822,33644,11757,966,1123,20539
2784,7463,24905,1504,60511,3606,3939,17538,4904
2788,7463,24905,1504,3606,60511,21822,33644,35036
3003,60511,7463,24905,17538,20470,5441,34146,1504
3274,429,5411,436,2106,29145,1525,4073,8555
3326,429,5411,2106,4073,20478,1550,8555,34146
3365,7463,24905,17538,60511,20470,4904,3824,5441
3386,436,6551,429,1414,5411,2106,1525,4073
3517,5441,10784,20470,28350,33624,17538,960,34146
3537,4073,25414,1550,20478,4904,961,3824,34146
3606,7463,1504,60511,21822,24905,33644,7348,3939
3619,7463,16074,24905,4904,1622,3606,17538,20470
3804,21822,966,11757,33644,20539,7348,1504,178
3806,429,5411,2106,34146,5441,1550,20478,3824
3810,4073,20478,5441,1550,34146,429,20470,17538
3816,1622,4904,5441,3824,1550,429,4073,34146
3824,4904,4073,1550,429,5441,1622,20470,20478
3825,429,2106,4073,1525,1550,5411,436,3824
3939,7463,1504,7348,60511,4904,21822,3606,33644
4014,43312,20575,1621,36862,48519,4073,429,507
4073,1550,20478,5441,34146,25414,20470,10784,17538
4110,429,5411,4073,5441,2106,1550,34146,20478
4370,4073,1550,5441,20478,34146,4904,20470,25414
4371,1622,5441,4073,34146,20478,1550,20470,4904
4372,7348,1123,1504,40153,176,11757,33644,21822
4373,5441,34146,10784,20478,4073,20470,33624,28350
4374,5441,20470,17538,34146,10784,33624,28350,37518
4570,20478,5441,34146,17538,20470,4073,10784,37518
4786,2106,429,4073,5411,29145,20478,1550,34146
4824,5411,429,2106,8555,4073,1550,20478,5441
4872,429,5411,4073,1550,2106,436,1525,3824
4904,3824,4073,1550,5441,1622,429,7463,20470
4920,7463,3606,1504,3939,60511,24905,1622,7348
5008,4904,5441,4073,34146,20478,1550,10784,1622
5009,4904,3824,3939,4073,1550,20478,5441,34146
5181,429,2106,436,5411,1550,3824,4073,1525
5182,48911,23474,3824,17538,7463,24905,429,436
5256,1622,7463,4904,5441,3606,1550,3939,36670
5360,5441,10784,34146,28350,33624,960,20470,20478
5411,429,2106,4073,1550,20478,34146,8555,5441
5441,34146,10784,20478,17538,20470,28350,33624,4073
5481,429,2106,436,4073,1525,3824,1550,5411
5487,5441,10784,34146,28350,17538,20470,33624,20478
5537,25382,429,1622,4904,4073,5441,1550,2106
5547,1622,5441,1550,4904,4073,7463,429,3824
5617,20539,33644,11757,7348,21822,966,1504,57110
5652,436,429,7672,36862,1018,24059,43312,20575
5657,16115,16074,21688,436,56887,429,20539,1504
5658,20478,4073,5441,34146,10784,17538,20470,1550
5659,43312,20575,48519,36862,1621,4014,7672,507
5660,29608,1622,7463,36670,1550,24905,5441,34342
5756,5441,24905,4073,7463,4904,20470,429,3824
5761,4904,3824,4073,16074,1550,429,1622,5441
5916,429,5411,2106,4073,3824,34146,1550,436
5972,25852,23474,2740,48911,24905,7463,17538,9906
6029,3824,4073,1622,429,4904,1550,5441,17538
6030,7463,3939,429,3824,4073,1622,4904,3606
6034,9906,7463,24905,60511,1504,20470,3606,17538
6138,3824,429,7463,24905,4904,20470,17538,48911
6150,11757,33644,21822,966,20539,7348,57110,19960
6329,11757,429,23795,21822,1550,966,33644,7348
6331,1550,4073,429,4904,17538,20470,5441,3824
6332,21822,33644,7348,1504,966,57110,60511,7463
6353,20478,5441,4073,1550,429,34146,10784,1622
6397,429,1550,20478,5411,2106,4904,4073,3824
6400,6329,23795,436,429,17538,6397,3824,34146
6523,13350,52211,13282,62782,73498,53906,46252,45743
6551,429,436,5411,2106,1525,4073,3824,1550
6723,43312,4014,1621,20575,36862,48519,507,1018
6761,436,1525,429,1554,3824,2106,17538,29145
6769,429,2106,5411,4073,29145,1550,20478,4904
6824,1622,5441,1550,429,4073,20478,4904,34146
6825,5441,10784,28350,33624,960,1550,4073,20470
6968,7463,43312,4014,3606,4920,1504,1621,1018
7047,5441,10784,34146,20478,4073,20470,1550,17538
7167,7463,4904,25382,1622,5441,3824,24905,1550
7324,7463,3939,20893,1504,3606,24905,60511,1622
7348,21822,11757,33644,1504,966,1123,20539,40153
7360,5441,4904,1622,3824,1550,7463,17538,4073
7425,4073,4904,1550,3824,20478,34146,429,25414
7448,966,21822,20539,11757,33644,178,33662,7348
7463,24905,60511,1504,17538,3606,962,21822,35036
7516,5441,10784,28350,33624,17538,960,20470,34146
7672,4073,36862,429,43312,20575,24059,20478,1550
7673,429,4073,2106,436,1550,3824,34146,20478
7675,727,1324,51483,1018,54731,29145,7348,35649
7693,4073,34146,20478,429,5441,20470,1550,4904
7694,7463,1504,24905,60511,3606,3939,21822,33644
7731,1622,4904,7463,5441,1550,4073,17538,20478
7810,2106,429,29145,5411,4073,20478,1550,4786
7811,7463,60511,429,5411,1622,3939,4904,1504
7815,7463,1504,3939,3606,7348,60511,21822,33644
7816,2106,429,5411,4073,29145,20478,5441,1550
7828,5441,4904,1550,1622,3824,36670,7463,429
7842,59548,436,4073,1525,5411,429,2106,1550
7849,5441,10784,28350,33624,17538,960,34146,20470
7956,5411,429,4073,1550,436,5441,34146,20478
8102,429,2106,1525,4073,5411,1550,436,3824
8203,7463,4904,24905,1622,3824,17538,3939,4073
8274,7463,24905,4904,3606,1504,3939,3824,17538
8284,7463,24905,1504,3606,60511,17538,3939,21822
8310,4904,3939,3824,7463,1622,24905,17538,4073
8422,24905,7463,20470,17538,5441,4904,34146,4073
8424,4073,4904,429,1550,5441,3824,34146,20470
8514,3939,7324,20893,3824,4904,7463,1622,24905
8555,5411,429,2106,4073,1550,20478,4904,5441
8575,29687,19960,7348,35036,1504,47695,58053,1123
8590,1622,7463,3824,4073,4904,429,17538,1550
8679,16074,7463,5441,20470,17538,24905,4073,1622
8717,25382,429,1622,1550,4073,3824,5441,4904
8769,4904,1622,3824,7463,1550,5441,24905,4073
8770,966,21822,33644,20539,33662,178,7348,11757
8869,5441,17538,20470,7463,4904,4073,3824,1550
8950,5441,10784,28350,34146,20470,33624,4073,20478
8999,4904,3824,1622,4073,1550,7463,5441,429
9117,4904,3824,4073,1550,429,20478,5441,1622
9118,7463,3939,1622,4904,1504,60511,3606,24905
9200,429,5411,8555,2106,20478,4073,5441,1550
9238,41492,35351,20478,5441,34146,10784,4073,17538
9239,429,4904,3824,7463,1550,4073,24905,34146
9240,5441,429,10784,28350,4073,17538,1550,20478
9241,25852,23474,5972,2740,60511,33644,47658,21822
9422,1622,429,7463,4073,1550,17538,5441,36670
9511,11664,7348,1504,1123,40153,176,11757,33644
9906,20470,429,34146,5441,2106,7463,4073,1550
10001,24905,7463,60511,1504,3606,35036,33644,21822
10265,429,436,3824,2106,4073,1525,1550,4904
10465,4904,20478,3824,4073,429,1550,5441,3939
10466,5441,4904,1550,4073,1622,34146,20478,10784
10478,4904,3824,4073,429,34146,1550,5441,7463
10479,7463,1504,60511,3606,24905,3939,21822,33644
10480,17538,20470,24905,7463,34146,5441,4904,429
10602,10605,436,429,4073,1525,1550,5411,31970
10605,7463,1504,7348,3939,24905,1123,17538,60511
10645,7463,24905,1504,60511,3606,17538,20470,21822
10649,36862,7672,24059,43312,20575,1018,48519,4073
10656,4904,1622,7463,3824,5441,24905,4073,1550
10784,5441,34146,20478,28350,20470,33624,17538,4073
10785,5441,10784,1550,4073,1622,20470,4904,17538
10786,5441,20478,4073,17538,10784,34146,20470,1550
10788,7348,11757,1123,1504,33644,21822,40153,966
10789,10785,20539,16079,33644,11757,10786,429,10784
10793,7675,1324,727,51483,1018,966,21822,48911
10794,7463,17538,24905,60511,1504,3606,3939,20470
11126,17538,24905,7463,20470,1622,4920,1504,3824
11263,7463,3939,1622,24905,4904,16074,3606,17538
11324,17538,20470,60511,24905,7463,34146,5441,20478
11325,17538,1622,7463,429,20470,4073,5441,3824
11328,4904,3824,429,4073,3939,1550,1622,5441
11456,7463,4904,3939,1622,3824,4073,24905,3606
11493,21822,966,33644,20539,11757,1504,7348,7463
11635,43312,4014,20575,1621,36862,507,48519,429
11641,5441,4073,1550,34146,20478,17538,20470,1622
11642,429,5411,4073,2106,1550,20478,4904,29145
11664,9511,4073,5441,20470,34146,1550,4904,20478
11709,4904,4073,3824,1550,429,20478,5441,34146
11753,429,5411,4904,4073,3824,1550,20478,34146
