,beer/beerId,beer/brewerId,beer/name,beer/style,beer_ratingcount,beer_average,beer_stdv
0,175,60,Nine Man Ale Golden Ale,American Blonde Ale,56,3.544642857142857,0.676063375957971
1,176,60,Benchwarmer Porter,English Porter,92,3.858695652173913,0.5258488007969307
2,178,60,Strike Out Stout,English Stout,68,3.4779411764705883,0.887028510577704
3,429,1,Pilsner Urquell,Czech Pilsener,946,3.8350951374207187,0.7084335812815789
4,436,163,Amstel Light,Light Lager,345,2.752173913043478,0.9111085593251949
5,454,14,Bannatyne's Scotch Ale,Scotch Ale / Wee Heavy,21,4.142857142857143,0.47809144373375795
6,503,14,Dunkles Weizen,Dunkelweizen,1,4.0,
7,505,14,Big Man Ale,American IPA,26,4.211538461538462,0.49341821861534324
8,507,14,Hefeweizen,Hefeweizen,29,4.275862068965517,0.39156752055387506
9,508,14,Bitchin' Special Bitter,Extra Special / Strong Bitter (ESB),2,3.5,0.7071067811865476
10,510,14,Blunderbuss Barley Wine,American Barleywine,28,4.160714285714286,0.38618675746355136
11,511,14,Beantowne Espresso Stout,American Stout,6,3.9166666666666665,0.3763863263545406
12,512,14,Regatta Golden,KÃ¶lsch,22,3.8636363636363638,0.9021379128785211
13,513,14,Tall Tale Pale Ale,American Pale Ale (APA),44,3.8636363636363638,0.5322575478577884
14,514,14,Cambridge Amber,American Amber / Red Ale,20,3.775,0.6584471365105534
15,515,14,Charles River Porter,American Porter,44,4.0227272727272725,0.5598436809912902
16,562,14,Will's Extra Bitter,Extra Special / Strong Bitter (ESB),5,4.4,0.4183300132670376
17,563,14,BMF Stout,American Stout,1,4.0,
18,638,14,Blackout Oatmeal Stout,Oatmeal Stout,7,4.214285714285714,0.8091735937126872
19,727,263,Aecht Schlenkerla Rauchbier MÃ¤rzen,Rauchbier,665,3.8390977443609025,0.7452494717007218
20,798,289,St. Ides High Gravity Malt Liquor,American Malt Liquor,55,2.2,0.9699179041242308
21,959,365,Pike Pale Ale,American Pale Ale (APA),54,3.7314814814814814,0.7314560495892993
22,960,365,Pike India Pale Ale,American IPA,154,3.8636363636363638,0.5370967929000822
23,961,365,Naughty Nellie's Ale,American Pale Ale (APA),78,3.6346153846153846,0.6628993622229283
24,962,365,Pike Kilt Lifter Scotch Style Ale,Scotch Ale / Wee Heavy,146,3.702054794520548,0.591837486790045
25,963,365,Pike Old Bawdy Barley Wine,American Barleywine,71,3.8943661971830985,0.5664141150237955
26,965,365,Pike Weisse,Hefeweizen,10,3.15,1.001387925719987
27,966,365,Pike Street XXXXX Stout,American Stout,206,4.050970873786408,0.5022622278143053
28,967,365,Pike Bootleg Brown,English Brown Ale,2,3.0,0.7071067811865476
29,1018,263,Aecht Schlenkerla Rauchbier Weizen,Rauchbier,252,3.7698412698412698,0.7103413512263842
30,1121,395,Altbier,Altbier,68,3.6544117647058822,0.5811552631264097
31,1122,395,American Pale Ale,American Pale Ale (APA),119,3.8529411764705883,0.6455615778124943
32,1123,395,Dark Star Porter,English Porter,119,3.689075630252101,0.5674489323646312
33,1152,394,Stoudts Honey Double MaiBock,Maibock / Helles Bock,18,3.5555555555555554,0.5659164584181104
34,1154,394,Stoudt's Fest,MÃ¤rzen / Oktoberfest,86,3.813953488372093,0.485353186306917
35,1324,263,Aecht Schlenkerla Rauchbier Urbock,Rauchbier,433,3.899538106235566,0.7011562996441422
36,1413,163,Amstel 1870,German Pilsener,3,3.3333333333333335,0.28867513459481287
37,1414,163,Amstel Lager,Euro Pale Lager,47,2.978723404255319,0.7515017342722818
38,1415,163,Amstel Gold,Dortmunder / Export Lager,2,3.5,0.7071067811865476
39,1418,163,Amstel Bock,Bock,12,3.5416666666666665,0.6894771844512245
40,1492,394,Stoudt's Scotch Style Ale,Scotch Ale / Wee Heavy,17,3.911764705882353,0.5072996561958925
41,1504,568,Okocim Porter,Baltic Porter,381,4.05249343832021,0.6090331665707107
42,1521,568,Okocim (Zagloba) Premium Beer,Euro Pale Lager,34,3.588235294117647,0.7634708249401282
43,1525,568,O.K. Beer,Euro Pale Lager,117,3.735042735042735,0.6649236719633934
44,1535,574,EMU Bitter,American Adjunct Lager,4,1.75,0.6454972243679028
45,1536,574,Swan Draught,American Adjunct Lager,5,2.9,0.8215838362577492
