self_id,id1,id2,id3,id4,id5,id6,id7,id8
175,1598,1791,1599,178,176,52275,52403,35707
176,1599,178,175,1598,1791,17737,75683,41683
178,1599,175,176,1598,1791,24082,29142,52403
429,727,436,3824,16074,1324,5441,7463,1018
436,429,1622,5441,1550,16074,5481,7463,2106
454,2788,513,514,54497,8424,54498,2599,33505
503,508,511,20817,40766,454,514,505,30372
505,5256,514,17285,511,16417,638,57275,513
507,2788,513,514,49360,44279,10001,4110,54497
508,503,511,20817,40766,454,514,505,30372
510,7731,13020,638,21436,17655,513,23669,3537
511,17285,514,20901,22697,503,638,3537,26722
512,514,52405,6523,74536,72394,36348,17655,513
513,514,515,454,507,6523,562,10001,510
514,511,513,4110,512,3537,13816,5256,454
515,513,5756,17655,514,6523,13020,4110,8575
562,19895,16894,8575,75787,18203,75788,11899,17183
563,25466,4570,2788,562,638,8424,7047,4110
638,17285,8424,22697,11899,75788,5657,563,75787
727,1018,1324,429,29145,16074,54731,3606,7463
798,22697,26419,26418,51599,53908,3517,2776,1620
959,961,965,960,962,31973,17162,53495,12824
960,966,962,961,959,33227,53495,965,34590
961,962,959,960,966,965,33227,45991,34590
962,961,960,966,959,53495,34590,35717,33227
963,966,961,33227,960,7811,62643,74753,56000
965,31973,17557,21762,75155,42273,18968,38261,33227
966,960,962,33227,53495,963,961,34590,45991
967,17557,21762,17537,19337,12181,62419,41816,965
1018,727,1324,29145,54731,16074,3606,429,33662
1121,1122,1123,23616,3365,7324,27753,20417,18713
1122,1121,1123,7324,3003,1589,20417,3365,16115
1123,1122,1121,3003,7324,3365,29687,17010,23474
1152,5256,42030,49418,42534,16894,19895,1620,3517
1154,1620,1621,1622,3517,2106,2324,9906,1492
1324,1018,727,54731,29145,3606,16074,24905,1504
1413,46248,39314,46252,53466,46255,28668,43396,46249
1414,48313,34416,49075,32179,36609,36580,36470,36484
1415,48078,54846,55904,55410,47241,46170,48112,70635
1418,34368,69242,69069,63117,62689,57792,75063,51749
1492,26420,51599,52275,26418,26419,3517,1620,21772
1504,16115,16074,17538,7463,19960,1324,21822,7675
1521,14243,14241,19869,17072,14395,25422,30247,21824
1525,1542,1504,429,4073,1324,29292,19898,727
1535,1538,1536,1537,20112,18279,14300,14348,73369
1536,1535,1538,1537,18279,14300,20112,6138,51721
1537,18279,14300,1537,6138,12992,1535,1536,12655
1538,73369,1535,1536,51721,1539,51404,36367,48047
1539,20204,25214,1535,73369,1536,1537,1538,14300
1542,30682,38552,18533,12155,22907,20891,1554,14014
1546,53421,50448,43108,45482,48148,46670,46088,2725
1549,1620,12181,2324,19337,27229,27861,24057,2776
1550,1622,2106,5411,20470,36670,25382,1154,2324
1554,37506,20202,1542,32661,18533,32711,32222,53159
1557,11456,11709,71686,18293,52405,25952,59827,14397
1589,36167,29227,20860,37174,58941,41866,24185,56979
1598,175,1599,1791,176,178,51301,46248,72989
1599,175,1598,178,176,1791,26420,1621,75683
1620,1549,3517,1825,1152,1154,2324,1492,1621
1621,1154,1620,9906,7810,1622,1550,5411,1549
1622,1550,2106,5411,20470,1154,25382,36670,9906
1681,23616,38196,34636,34637,39360,38200,63894,45922
1791,175,1598,1599,178,176,42030,49418,42534
1825,51599,26418,26419,1620,20860,29227,75683,17737
2106,1622,5411,1550,1154,25382,1621,20470,9906
2324,1620,1549,3517,1154,1550,1492,1825,21246
2572,5761,8203,14299,33698,9117,37045,26012,46078
2599,454,8575,54498,10001,13816,21436,513,514
2718,2719,2740,52405,73752,12928,10480,44686,59827
2719,2718,2740,12928,73752,2788,10480,6723,55353
2725,19558,8717,8514,41683,2780,1546,2726,57668
2726,26562,26651,26854,30271,19558,8717,14397,25952
2740,2719,2718,46317,5657,563,5652,53516,7047
2776,22697,3537,5256,17285,6353,38226,16417,44909
2780,19558,2725,38226,8514,55461,8717,41683,27229
2784,21607,8274,30372,32711,41315,53159,32710,31630
2788,47569,73752,563,46089,45727,44279,6723,50520
3003,3365,7324,1122,37403,1123,34361,1121,22450
3274,10789,36039,36037,36035,53678,53449,52171,51814
3326,26419,51599,26418,75683,7811,17737,26420,7810
3365,3003,1121,1589,12155,23616,14454,7324,1123
3386,57275,7815,41613,47084,32222,512,1414,52445
